article_id,expr_type,value,char_offset
311.txt,"month, relative-interval", year,1393
311.txt,"month, relative-interval", year ,1518
311.txt,"month, relative-interval", month,1662
311.txt,"month, relative-interval",day ,2571
305.txt,month, may ,619
305.txt,"month, relative-interval", day ,1540
1691.txt,"month, relative-interval", year,2084
463.txt,month, September ,1182
463.txt,year,2001,1211
463.txt,"month, relative-interval", hour,191
463.txt,"month, relative-interval", Day ,661
463.txt,"month, relative-interval", month,1074
463.txt,"month, relative-interval",hour ,1099
463.txt,"month, relative-interval", day,1164
463.txt,dayofweek, Friday ,622
463.txt,day-month, 15 January,240
463.txt,day-month, 11 September,1179
339.txt,month, January ,247
339.txt,month, October ,1153
339.txt,year,2004,806
339.txt,year,2004,1162
339.txt,"month, relative-interval", year,270
339.txt,"month, relative-interval",year ,279
339.txt,"month, relative-interval", year,664
339.txt,"month, relative-interval",year ,673
339.txt,season, fall ,629
1120.txt,"month, relative-interval", year,901
1646.txt,month, September ,3533
1646.txt,year,2004,114
1646.txt,year,2008,337
1646.txt,year,2008,728
1646.txt,year,2005,1804
1646.txt,"month, relative-interval", last year,123
1646.txt,"month, relative-interval", month,1075
1646.txt,"month, relative-interval", next month ,2516
1646.txt,"month, relative-interval", month,3515
1652.txt,"month, relative-interval", month,222
1652.txt,"month, relative-interval", month ,851
1652.txt,"month, relative-interval", day ,2008
1652.txt,"month, relative-interval", day,3254
1652.txt,"month, relative-interval", next day ,4642
1652.txt,"month, relative-interval", month,4943
1652.txt,"month, relative-interval", day ,5566
1652.txt,"month, relative-interval", month,6784
1652.txt,"month, relative-interval", month,7125
1652.txt,"month, relative-interval", few year,7438
1652.txt,season, fall ,2671
1134.txt,year, 1986,1661
1134.txt,"month, relative-interval",day,243
1134.txt,dayofweek, Sunday ,2266
1134.txt,day-month, 17 November,482
488.txt,year, 1977,234
488.txt,year, 1981,278
488.txt,year, 1977,315
488.txt,year, 1977,476
488.txt,year, 1979,556
488.txt,year, 1978,1148
488.txt,year, 1980,1582
488.txt,year, 1991,2070
488.txt,year, 1981,2560
488.txt,year, 1981,2689
488.txt,"month, relative-interval", week ,334
488.txt,"month, relative-interval",hour ,1233
488.txt,"month, relative-interval", minute,1425
488.txt,"month, relative-interval", day,1620
488.txt,"month, relative-interval", year,2080
488.txt,"month, relative-interval", year ,2579
488.txt,"month, relative-interval", year,2834
488.txt,"month, relative-interval", today ,3081
488.txt,dayofweek, sat ,1384
1108.txt,month, March ,1928
1108.txt,"month, relative-interval",day ,318
1108.txt,"month, relative-interval",year,376
1108.txt,"month, relative-interval",day,789
1108.txt,"month, relative-interval",day,1622
1108.txt,"month, relative-interval",day,1962
1108.txt,dayofweek, Friday ,413
1108.txt,day-month, 12 March,1925
1108.txt,season, autumn ,921
113.txt,month, December ,71
113.txt,month, December ,524
113.txt,month, December ,1564
113.txt,month, December ,1601
113.txt,month, December ,1745
113.txt,month, December ,2438
113.txt,"month, relative-interval", last year,280
113.txt,"month, relative-interval", year ,571
113.txt,"month, relative-interval", season ,988
113.txt,"month, relative-interval", month,1450
113.txt,"month, relative-interval", month,1556
113.txt,"month, relative-interval", month,1584
113.txt,"month, relative-interval", year ,1692
113.txt,"month, relative-interval", last minute ,2267
113.txt,"month, relative-interval", last year,2375
113.txt,"month, relative-interval", month ,2475
113.txt,"month, relative-interval",last year,2482
113.txt,"month, relative-interval",day ,2879
113.txt,"month, relative-interval",season ,2883
1487.txt,"month, relative-interval", year ,101
1487.txt,"month, relative-interval", today ,1761
1487.txt,"month, relative-interval", month ,3116
1487.txt,"month, relative-interval", month,3826
675.txt,year, 1997,807
675.txt,"month, relative-interval", month,116
675.txt,"month, relative-interval",day ,715
675.txt,"month, relative-interval", year,892
675.txt,"month, relative-interval", today,1452
661.txt,month, September ,271
661.txt,month, May ,1298
661.txt,year, 1989,233
661.txt,year,2003,282
661.txt,year,2000,699
661.txt,year, 1986,920
661.txt,year,2003,1187
661.txt,"month, relative-interval",day,99
661.txt,"month, relative-interval", year,195
661.txt,"month, relative-interval",hour ,319
661.txt,"month, relative-interval", minute,395
661.txt,"month, relative-interval", year,600
661.txt,"month, relative-interval", year,1040
1493.txt,month, March ,2213
1493.txt,"month, relative-interval", month,393
1493.txt,"month, relative-interval", few hour,1935
1493.txt,"month, relative-interval", week,2022
1493.txt,"month, relative-interval", month,2031
1493.txt,"month, relative-interval", month,2126
107.txt,"month, relative-interval", last year,174
107.txt,"month, relative-interval", last year,692
107.txt,"month, relative-interval", month,913
649.txt,"month, relative-interval",day,249
649.txt,"month, relative-interval",day,1905
649.txt,"month, relative-interval",day,1924
649.txt,dayofweek, Friday ,730
891.txt,"month, relative-interval",day,1449
1444.txt,month, may ,71
1444.txt,month, may ,193
1444.txt,month, may ,877
1444.txt,month, January ,1543
1444.txt,month, may ,3635
1444.txt,year, 1948,588
1444.txt,"month, relative-interval",day,452
1444.txt,"month, relative-interval", minute,2196
1444.txt,"month, relative-interval", minute,2789
1444.txt,dayofweek, Sunday ,2315
1322.txt,"month, relative-interval",day,129
1322.txt,"month, relative-interval", minute,314
1322.txt,"month, relative-interval", year,2026
1336.txt,"month, relative-interval", year ,401
1450.txt,"month, relative-interval",year,551
1450.txt,"month, relative-interval", minute,934
1450.txt,"month, relative-interval", minute,1496
1450.txt,"month, relative-interval", minute,1745
1450.txt,"month, relative-interval", minute,2231
1450.txt,"month, relative-interval", minute,2355
1450.txt,"month, relative-interval", minute,2599
1478.txt,month, may ,2374
1478.txt,"month, relative-interval", week ,136
852.txt,month, May ,246
852.txt,year,2001,176
852.txt,year,2002,251
852.txt,year, 1994,713
852.txt,"month, relative-interval",year,1080
12.txt,month, March ,1211
12.txt,"month, relative-interval", year,472
12.txt,"month, relative-interval", year,798
12.txt,"month, relative-interval", year ,1200
12.txt,day-month, 31 March,1208
12.txt,day-month, 30 May,1220
846.txt,month, September ,777
846.txt,month, May ,2089
846.txt,year,2003,788
846.txt,year,2003,2094
846.txt,"month, relative-interval",day ,204
846.txt,"month, relative-interval", day ,616
701.txt,"month, relative-interval", year ,446
1295.txt,"month, relative-interval", next week,90
1295.txt,"month, relative-interval", hour,474
1295.txt,"month, relative-interval", year,799
1295.txt,"month, relative-interval", year,853
1295.txt,"month, relative-interval", week,1066
1295.txt,"month, relative-interval",year,1333
1295.txt,"month, relative-interval",day,1662
1295.txt,dayofweek, Saturday ,1483
1281.txt,month, may ,302
1281.txt,month, may ,811
1281.txt,"month, relative-interval", last month ,1002
1281.txt,"month, relative-interval",week ,1460
1281.txt,dayofweek, Saturday ,470
1281.txt,day-month, 13 March,1367
715.txt,month, September ,441
715.txt,month, September ,459
715.txt,year, 1956,451
715.txt,year, 1957,469
715.txt,year, 1994,828
715.txt,"month, relative-interval", hour,330
715.txt,"month, relative-interval",day,413
715.txt,"month, relative-interval", year,689
715.txt,dayofweek, Sunday ,144
729.txt,"month, relative-interval", year ,190
729.txt,"month, relative-interval", year,1466
1530.txt,month," March
",27
1530.txt,"month, relative-interval", year,586
1530.txt,"month, relative-interval", last year ,642
1530.txt,day-month, 24 March,97
1530.txt,day-month, 11 March,888
1256.txt,year,2000,572
1256.txt,"month, relative-interval",day,77
1256.txt,"month, relative-interval", year,627
1242.txt,"month, relative-interval", week,82
1242.txt,"month, relative-interval", season,134
1242.txt,"month, relative-interval", month,243
1242.txt,"month, relative-interval", week,297
1242.txt,"month, relative-interval", next week,433
1242.txt,"month, relative-interval", season,566
1242.txt,"month, relative-interval", month,688
1524.txt,month, may ,309
1524.txt,"month, relative-interval", today,967
1524.txt,"month, relative-interval", day,4229
1524.txt,"month, relative-interval", today,5760
926.txt,"month, relative-interval",day,1066
926.txt,"month, relative-interval", last year ,1539
926.txt,dayofweek, Monday ,2309
932.txt,year,2002,1060
932.txt,year,2000,1243
932.txt,"month, relative-interval", hour,64
932.txt,"month, relative-interval", week ,94
932.txt,"month, relative-interval", year,198
932.txt,"month, relative-interval", hour,361
932.txt,"month, relative-interval", week ,378
932.txt,"month, relative-interval", hour,961
932.txt,"month, relative-interval", week ,987
932.txt,"month, relative-interval", next year ,1448
1518.txt,month, August ,2021
1518.txt,year,2004,2029
1518.txt,year,2004,3377
1518.txt,"month, relative-interval", year,258
1518.txt,"month, relative-interval", year ,2783
1518.txt,"month, relative-interval", day,2871
1518.txt,"month, relative-interval", month,3115
1518.txt,"month, relative-interval", day,3170
1518.txt,"month, relative-interval", month,3447
1518.txt,"month, relative-interval", week,3478
1097.txt,"month, relative-interval", Today ,1157
503.txt,"month, relative-interval",year ,828
265.txt,month, may ,1539
265.txt,month, may ,2112
265.txt,year,2001,2490
265.txt,"month, relative-interval", few year,1306
265.txt,day-month, 15 November,2784
265.txt,day-month, 3 January,2804
265.txt,day-month, 15 November,2914
265.txt,day-month, 5 January,2935
265.txt,day-month year,15 November 2004,2785
265.txt,day-month year,3 January 2005,2805
265.txt,day-month year,15 November 2004,2915
265.txt,day-month year,5 January 2005,2936
271.txt,month, may ,1678
271.txt,year, 1998,820
271.txt,year, 1987,1998
271.txt,"month, relative-interval",day ,94
271.txt,"month, relative-interval", last year,830
271.txt,"month, relative-interval", week,1979
271.txt,"month, relative-interval", Last year,2231
271.txt,season, Winter ,786
271.txt,season, fall ,1441
517.txt,month, may ,2091
517.txt,"month, relative-interval",day,402
517.txt,"month, relative-interval",day,2133
517.txt,"month, relative-interval", hour,2366
517.txt,"month, relative-interval",day,2542
1083.txt,year, 1870,270
1083.txt,year, 1888,568
1083.txt,year, 1893,1324
1083.txt,year, 1903,1396
1083.txt,year, 1905,1966
1083.txt,year, 1905,3189
1083.txt,year, 1908,3361
1083.txt,year, 1921,3413
1083.txt,year, 1924,3618
1083.txt,year, 1928,3982
1083.txt,year, 1930,4258
1083.txt,year, 1935,4492
1083.txt,year, 1953,4867
1083.txt,year, 1963,5336
1083.txt,year, 1967,5830
1083.txt,year, 1969,6080
1083.txt,year, 1972,6192
1083.txt,year, 1971,6331
1083.txt,year, 1974,6644
1083.txt,year, 1978,6665
1083.txt,year, 1980,7260
1083.txt,year, 1988,7602
1083.txt,year, 1989,8122
1083.txt,year, 1995,8139
1083.txt,year, 1997,8304
1083.txt,year,2002,8582
1083.txt,year,2003,8677
1083.txt,"month, relative-interval", year ,1457
1083.txt,"month, relative-interval", year,3115
1083.txt,"month, relative-interval", minute ,6795
1083.txt,"month, relative-interval", season,9239
1083.txt,"month, relative-interval", year,9403
1083.txt,day-month, 14 May,262
259.txt,year,2004,817
259.txt,"month, relative-interval", month ,428
259.txt,"month, relative-interval", year ,1082
259.txt,"month, relative-interval", year,1247
259.txt,"month, relative-interval", month ,1486
259.txt,season, fall ,520
259.txt,season, fall ,1120
259.txt,season, fall ,1138
1054.txt,year,2000,853
1054.txt,"month, relative-interval", month,341
1054.txt,"month, relative-interval", month,1625
1054.txt,"month, relative-interval",day,1714
1054.txt,dayofweek, Saturday ,217
1054.txt,day-month, 12 August,1376
1732.txt,"month, relative-interval", few minute,701
1726.txt,month, August ,1413
1726.txt,"month, relative-interval", year,2599
1726.txt,"month, relative-interval",year,2821
1726.txt,dayofweek, Sun ,3157
1726.txt,season, fall ,1758
1040.txt,year,2010,250
1040.txt,year,2006,459
1040.txt,year,2008,1464
1040.txt,year,2010,1481
1040.txt,"month, relative-interval", hour,215
1040.txt,"month, relative-interval", week ,241
1040.txt,"month, relative-interval", hour,413
1040.txt,"month, relative-interval", year,879
1040.txt,"month, relative-interval", hour,1320
1040.txt,"month, relative-interval", week,1364
1040.txt,"month, relative-interval", hour,1746
1040.txt,"month, relative-interval", week ,1763
1040.txt,"month, relative-interval", year,2220
1068.txt,"month, relative-interval",day,84
1068.txt,"month, relative-interval",day,713
298.txt,month, July ,312
298.txt,year,2002,318
298.txt,"month, relative-interval", month,951
1718.txt,month, may ,807
1718.txt,month, December ,2613
1718.txt,year, 1973,1066
1718.txt,year,2002,2051
1718.txt,"month, relative-interval", year ,2227
1718.txt,"month, relative-interval", today,3453
1718.txt,"month, relative-interval", tomorrow,3498
1718.txt,"month, relative-interval", afternoon ,4257
1718.txt,"month, relative-interval", last year ,4893
1718.txt,"month, relative-interval", after month,5082
1718.txt,"month, relative-interval", day,5278
1718.txt,decade,1980s,2184
1730.txt,"month, relative-interval",day,513
1056.txt,"month, relative-interval",day,136
1056.txt,"month, relative-interval",year,157
1056.txt,"month, relative-interval", last year,287
1042.txt,month, August ,511
1042.txt,year,2003,519
1042.txt,year, 1997,570
1042.txt,year,2001,580
1042.txt,year, 1992,1534
1042.txt,dayofweek, Sunday ,1209
1042.txt,season, winter ,1572
1724.txt,year,2004,92
1724.txt,year,2004,275
1724.txt,year,2004,674
1724.txt,"month, relative-interval", year ,894
1724.txt,"month, relative-interval", year,941
529.txt,year, 1989,144
529.txt,year, 1999,927
529.txt,"month, relative-interval",day ,470
267.txt,"month, relative-interval",afternoon ,277
267.txt,"month, relative-interval",day ,590
267.txt,"month, relative-interval", last week ,660
267.txt,"month, relative-interval",day ,1073
267.txt,"month, relative-interval", last year,1884
267.txt,"month, relative-interval", month,2176
267.txt,"month, relative-interval", month,2741
267.txt,dayofweek, Sunday ,47
267.txt,dayofweek, Friday ,269
267.txt,dayofweek, Monday ,596
267.txt,dayofweek, Sunday ,2293
267.txt,dayofweek, Sun ,2805
501.txt,year, 1991,392
501.txt,year,2004,993
501.txt,year, 1974,2586
501.txt,year, 1977,2792
501.txt,"month, relative-interval",day,114
501.txt,"month, relative-interval", year,200
501.txt,"month, relative-interval",year ,722
501.txt,"month, relative-interval", today,2025
501.txt,"month, relative-interval", year,6822
501.txt,"month, relative-interval", year,7180
501.txt,"month, relative-interval", Tomorrow ,8078
501.txt,"month, relative-interval", today,8099
501.txt,"month, relative-interval", year,8287
501.txt,"month, relative-interval", today,8888
501.txt,"month, relative-interval", today ,10035
501.txt,"month, relative-interval", year,10066
501.txt,"month, relative-interval", day ,12858
501.txt,"month, relative-interval", month,13027
501.txt,"month, relative-interval", today,13467
501.txt,day-month, 11 February,3273
1095.txt,"month, relative-interval", season,127
1095.txt,"month, relative-interval",day,509
1095.txt,"month, relative-interval",day,930
1095.txt,"month, relative-interval", few year,1128
1081.txt,"month, relative-interval", month,512
1081.txt,"month, relative-interval", year,527
1081.txt,dayofweek, Friday ,160
1081.txt,dayofweek, Sunday ,842
515.txt,year,2006,1549
515.txt,"month, relative-interval", today,649
273.txt,year,2004,424
273.txt,year,2001,760
273.txt,year,2002,769
273.txt,year,2001,917
273.txt,year,2002,926
273.txt,year,2001,1358
273.txt,year,2002,1367
273.txt,year,2006,1859
273.txt,"month, relative-interval", year,311
273.txt,"month, relative-interval", year,624
273.txt,"month, relative-interval", year,1304
273.txt,"month, relative-interval", Last year,1773
273.txt,dayofweek, Sun ,1123
924.txt,"month, relative-interval",year,549
1268.txt,"month, relative-interval", minute ,188
1268.txt,"month, relative-interval", minute,437
1268.txt,"month, relative-interval", minute,625
1268.txt,"month, relative-interval", minute,1804
1268.txt,"month, relative-interval",year,2219
1268.txt,"month, relative-interval", minute,2307
1268.txt,"month, relative-interval", last year,2946
930.txt,year,2000,232
930.txt,year,2015,1422
930.txt,"month, relative-interval", year,96
930.txt,"month, relative-interval",day,640
930.txt,"month, relative-interval", year,1196
930.txt,"month, relative-interval", year,1356
918.txt,month, December ,882
918.txt,year, 1984,220
918.txt,year,2007,994
918.txt,year,2005,1036
918.txt,year,2006,1047
918.txt,year,2005,1498
918.txt,"month, relative-interval", next week,90
918.txt,"month, relative-interval",day ,830
918.txt,"month, relative-interval", next week ,1463
918.txt,day-month, 16 December,879
1254.txt,"month, relative-interval",afternoon,171
1254.txt,"month, relative-interval", last month,459
1254.txt,"month, relative-interval",month ,784
1254.txt,dayofweek, Sunday ,163
1532.txt,month, may ,2374
1532.txt,"month, relative-interval", week ,136
1526.txt,month, may ,429
1526.txt,month, February ,548
1526.txt,month, March ,2215
1526.txt,month, March ,2525
1526.txt,month, March ,2731
1526.txt,month, February ,2965
1526.txt,year,2005,20
1526.txt,year,2005,141
1526.txt,year, 1979,2076
1526.txt,year,2012,2113
1526.txt,year, 1964,2347
1526.txt,"month, relative-interval", few year,1791
1526.txt,day-month, 25 February,545
1526.txt,day-month, 1 March,2213
1526.txt,day-month, 11 March,2728
1526.txt,day-month, 11 February,2962
1240.txt,"month, relative-interval",day,211
1240.txt,"month, relative-interval", season,271
1240.txt,"month, relative-interval", season ,321
1240.txt,"month, relative-interval",day,569
1240.txt,"month, relative-interval", few week,741
1240.txt,"month, relative-interval", season ,828
1297.txt,"month, relative-interval", next week,122
1297.txt,"month, relative-interval", week ,298
1297.txt,"month, relative-interval", next week,488
1297.txt,"month, relative-interval", Noon ,640
1297.txt,"month, relative-interval", hour,855
1297.txt,dayofweek, Saturday ,193
1297.txt,dayofweek, Friday ,738
703.txt,month, March ,514
703.txt,year,2004,1898
703.txt,"month, relative-interval", hour,500
703.txt,"month, relative-interval", last year,1347
703.txt,day-month, 20 March,511
703.txt,day-month, 27 March,523
703.txt,season, Spring ,559
703.txt,day-month year,27 March 2004,524
717.txt,year,2004,493
717.txt,year, 1982,1035
717.txt,"month, relative-interval", day ,294
717.txt,"month, relative-interval", week ,511
1283.txt,"month, relative-interval",day,103
1283.txt,"month, relative-interval", day,169
1283.txt,"month, relative-interval",day,390
1283.txt,"month, relative-interval", tomorrow,553
1283.txt,"month, relative-interval",year,815
1283.txt,"month, relative-interval",day,891
1283.txt,"month, relative-interval",year,1048
1283.txt,"month, relative-interval", year,1118
1283.txt,"month, relative-interval",day,1570
688.txt,month, May ,1333
688.txt,year,2001,521
688.txt,year,2002,662
688.txt,year,2006,1342
10.txt,month, May ,189
10.txt,month, November ,258
10.txt,year, 1999,976
10.txt,year,2001,1040
10.txt,year,2002,1172
10.txt,"month, relative-interval",May last year,190
10.txt,"month, relative-interval", month ,206
10.txt,"month, relative-interval",year,318
850.txt,month, November ,438
850.txt,month, November ,804
850.txt,month, June ,1195
850.txt,year,2003,448
850.txt,year,2003,814
850.txt,year,2004,1201
850.txt,"month, relative-interval", next year,997
850.txt,"month, relative-interval", year ,1133
850.txt,"month, relative-interval", month,1971
850.txt,dayofweek, Sunday ,279
850.txt,dayofweek, Sunday ,695
850.txt,dayofweek, Sunday ,2316
1308.txt,year,2004,881
1308.txt,year,2004,1266
1308.txt,"month, relative-interval", day,163
1308.txt,"month, relative-interval", next month,300
1308.txt,"month, relative-interval",day,598
1308.txt,"month, relative-interval", day,615
1308.txt,"month, relative-interval", few week,727
1308.txt,"month, relative-interval",month ,1105
1308.txt,"month, relative-interval", year ,1364
1308.txt,"month, relative-interval",day,1376
1308.txt,"month, relative-interval",year,1444
1308.txt,dayofweek, Sunday ,127
844.txt,"month, relative-interval",year,335
844.txt,"month, relative-interval", year,1059
844.txt,"month, relative-interval", day ,1918
1320.txt,month, February ,729
1320.txt,"month, relative-interval", last week,269
1320.txt,"month, relative-interval", year,584
1320.txt,"month, relative-interval",day ,1306
1320.txt,day-month, 26 February,726
1320.txt,day-month, 12 March,763
1446.txt,"month, relative-interval", Day ,10
1446.txt,"month, relative-interval", Day ,66
1446.txt,"month, relative-interval", month,98
1446.txt,"month, relative-interval","

Day ",112
1446.txt,"month, relative-interval", month ,188
1446.txt,"month, relative-interval", month ,357
1446.txt,"month, relative-interval","

Day",513
1446.txt,"month, relative-interval",day,705
1452.txt,month, April ,453
1452.txt,year,2001,809
1452.txt,"month, relative-interval", season ,146
1452.txt,"month, relative-interval",year,621
1452.txt,"month, relative-interval", season ,1083
1452.txt,"month, relative-interval",day,1195
1452.txt,day-month, 18 April,450
1334.txt,year,2002,739
1334.txt,year,2003,748
1334.txt,"month, relative-interval", year,130
1334.txt,"month, relative-interval", year ,222
1334.txt,"month, relative-interval", month,569
1334.txt,"month, relative-interval",day,635
1334.txt,"month, relative-interval",year,684
1334.txt,day-month, 17 April,145
38.txt,month, may ,133
38.txt,month, may ,516
38.txt,month, may ,2257
38.txt,"month, relative-interval", day ,248
38.txt,"month, relative-interval",day,471
38.txt,"month, relative-interval",day,958
878.txt,"month, relative-interval",day,564
878.txt,"month, relative-interval", year ,642
878.txt,"month, relative-interval", year,732
878.txt,"month, relative-interval",day,895
878.txt,"month, relative-interval",day,1387
878.txt,"month, relative-interval",day,1866
878.txt,"month, relative-interval", year ,2541
878.txt,"month, relative-interval", day ,2786
893.txt,"month, relative-interval",day,28
893.txt,"month, relative-interval", day,78
893.txt,"month, relative-interval", Day ,100
893.txt,"month, relative-interval", Year,112
893.txt,"month, relative-interval", Day,119
893.txt,"month, relative-interval", Day ,239
893.txt,"month, relative-interval", season,454
893.txt,"month, relative-interval", year,472
893.txt,"month, relative-interval",day,529
893.txt,"month, relative-interval",year ,567
893.txt,"month, relative-interval", Day ,589
893.txt,"month, relative-interval", Year,600
893.txt,"month, relative-interval", Day,607
893.txt,"month, relative-interval", day,869
893.txt,"month, relative-interval", Day ,964
893.txt,"month, relative-interval", Year,976
893.txt,"month, relative-interval", Day ,983
893.txt,"month, relative-interval", day,999
893.txt,"month, relative-interval", day,1138
893.txt,"month, relative-interval", day,1255
893.txt,"month, relative-interval", day,1330
893.txt,"month, relative-interval", Year,1413
893.txt,"month, relative-interval", Day ,1420
893.txt,day-month, 1 January,247
893.txt,day-month, 7 February,1493
139.txt,year, 1999,334
139.txt,year, 1998,1813
139.txt,"month, relative-interval", year,1406
139.txt,"month, relative-interval", today ,2335
139.txt,"month, relative-interval",day,2426
139.txt,"month, relative-interval",Today,2539
139.txt,dayofweek, Friday ,1897
887.txt,month, May ,821
887.txt,relative-year,before 2001,1656
887.txt,"month, relative-interval", day,246
887.txt,"month, relative-interval", Today ,1455
887.txt,"month, relative-interval", Today,2745
887.txt,day-month, 16 March,129
887.txt,day-month, 5 May,2852
677.txt,year,2004,917
677.txt,"month, relative-interval",day,1217
1485.txt,month, May ,1885
1485.txt,year,2006,1059
1485.txt,year,2005,1691
1485.txt,year,2005,1890
1485.txt,year,2006,1975
1485.txt,"month, relative-interval",day,142
1485.txt,"month, relative-interval", year,224
1485.txt,"month, relative-interval", last year,744
1485.txt,"month, relative-interval", next year ,1116
1485.txt,"month, relative-interval", last year,2139
111.txt,month, July ,432
111.txt,year,2004,312
111.txt,year,2009,388
111.txt,year,2003,438
111.txt,year, 1973,803
111.txt,"month, relative-interval",day,143
105.txt,month, May ,2920
105.txt,year,2004,2925
105.txt,"month, relative-interval", last week,1187
105.txt,"month, relative-interval", week,1657
105.txt,"month, relative-interval", Last week ,3126
1491.txt,month, November ,213
1491.txt,month, April ,1814
1491.txt,month, November ,2446
1491.txt,year,2003,223
1491.txt,year,2003,1821
1491.txt,"month, relative-interval", last year ,662
1491.txt,"month, relative-interval", day,1319
1491.txt,"month, relative-interval", day ,2497
663.txt,year, 1964,174
663.txt,year, 1971,230
663.txt,year, 1969,976
663.txt,"month, relative-interval",year,76
1678.txt,year, 1992,179
1678.txt,year,2006,1275
1678.txt,"month, relative-interval", month,1065
1678.txt,"month, relative-interval","

Last year",1095
1678.txt,"month, relative-interval", year,1196
1678.txt,"month, relative-interval", year,1912
1678.txt,"month, relative-interval", hour,2302
1678.txt,"month, relative-interval", year,3105
1644.txt,year,2004,499
1644.txt,year,2001,1191
1644.txt,"month, relative-interval", year,81
1644.txt,"month, relative-interval",year ,1222
1122.txt,"month, relative-interval", week ,1049
1122.txt,"month, relative-interval", year,1277
1122.txt,"month, relative-interval", day ,1316
1122.txt,"month, relative-interval", day ,1363
1122.txt,dayofweek, Sunday ,208
1136.txt,month, may ,1586
1136.txt,month, may ,2030
1136.txt,year,2007,1241
1136.txt,year,2007,2147
1136.txt,"month, relative-interval",year,507
1136.txt,"month, relative-interval", season,620
1136.txt,"month, relative-interval", season ,1188
1136.txt,"month, relative-interval", year,1674
1136.txt,dayofweek, Saturday ,2255
1136.txt,day-month, 12 March,2264
1650.txt,month, September ,519
1650.txt,month, September ,2977
1650.txt,month, March ,2996
1650.txt,year,2004,530
1650.txt,year,2007,2677
1650.txt,year,2005,2988
1650.txt,year,2006,3003
1650.txt,year,2005,3430
1650.txt,"month, relative-interval", month,509
1650.txt,"month, relative-interval", year,1297
1650.txt,"month, relative-interval", year,2917
449.txt,"month, relative-interval", next month,132
449.txt,"month, relative-interval", Year,443
449.txt,"month, relative-interval", year ,498
449.txt,"month, relative-interval", year,512
449.txt,"month, relative-interval", year ,686
449.txt,"month, relative-interval",hour ,703
449.txt,"month, relative-interval", year ,777
449.txt,"month, relative-interval", Day ,967
449.txt,"month, relative-interval", Day,1202
449.txt,day-month, 18 December,182
313.txt,"month, relative-interval", year,113
313.txt,"month, relative-interval", Last year,270
313.txt,"month, relative-interval", week,467
313.txt,"month, relative-interval", year ,1112
1687.txt,year,2003,1636
1687.txt,"month, relative-interval", year ,1333
1687.txt,"month, relative-interval", year ,1728
475.txt,year,2002,1548
475.txt,year,2012,1947
475.txt,year,2002,2014
475.txt,relative-year,before 2014,2336
475.txt,"month, relative-interval", year,1007
461.txt,year, 1984,430
461.txt,"month, relative-interval", day ,595
461.txt,"month, relative-interval",day,617
461.txt,"month, relative-interval", year ,704
1693.txt,month," March
",27
1693.txt,"month, relative-interval", year,586
1693.txt,"month, relative-interval", last year ,642
1693.txt,day-month, 24 March,97
1693.txt,day-month, 11 March,888
307.txt,month, may ,1447
307.txt,month, may ,2505
307.txt,"month, relative-interval", week ,203
307.txt,"month, relative-interval", last week,1069
307.txt,"month, relative-interval", month,1556
307.txt,"month, relative-interval", last year ,2338
307.txt,dayofweek, Monday ,80
307.txt,dayofweek, Sunday ,311
460.txt,"month, relative-interval",year,184
460.txt,"month, relative-interval",minute ,239
460.txt,"month, relative-interval", Last year,290
460.txt,"month, relative-interval", year ,571
460.txt,"month, relative-interval",year,591
460.txt,"month, relative-interval", year,647
460.txt,"month, relative-interval", last year,1199
460.txt,"month, relative-interval", last year ,1810
460.txt,"month, relative-interval", year,1968
460.txt,month-year, September 11 ,718
306.txt,year, 1990,693
306.txt,year, 1945,826
306.txt,year,2010,4522
306.txt,"month, relative-interval", week,301
306.txt,"month, relative-interval", day,970
306.txt,"month, relative-interval", hour ,1490
306.txt,"month, relative-interval",week ,1496
306.txt,"month, relative-interval", hour,1530
306.txt,"month, relative-interval", today ,1870
306.txt,"month, relative-interval", day,3074
306.txt,"month, relative-interval", year ,3195
306.txt,"month, relative-interval", year,3249
306.txt,"month, relative-interval", year,3298
306.txt,"month, relative-interval", hour,3707
306.txt,"month, relative-interval", week ,3715
306.txt,"month, relative-interval", year,4532
306.txt,dayofweek, Friday ,78
1692.txt,"month, relative-interval", week ,112
1692.txt,"month, relative-interval", year,1819
1686.txt,"month, relative-interval", minute ,367
1686.txt,"month, relative-interval", day ,2088
312.txt,month, June ,2386
312.txt,month, January ,2416
312.txt,year, 1776,278
312.txt,year, 1723,863
312.txt,year,2002,1935
312.txt,year,2004,2392
312.txt,"month, relative-interval",January next year,2417
474.txt,month, may ,1256
474.txt,month, September ,1902
474.txt,"month, relative-interval",hour ,117
474.txt,"month, relative-interval",day,276
474.txt,"month, relative-interval",day ,2026
474.txt,day-month, 11 September,1899
448.txt,year, 1999,591
448.txt,year,2001,646
448.txt,"month, relative-interval",year,334
448.txt,dayofweek, Sunday ,608
448.txt,day-month, 25 January,362
1137.txt,year,2001,1009
1137.txt,"month, relative-interval", week,366
1137.txt,"month, relative-interval", last season,717
1137.txt,"month, relative-interval", season ,790
1137.txt,"month, relative-interval", season,950
1137.txt,"month, relative-interval",year,1059
1137.txt,"month, relative-interval", next season ,1105
1137.txt,"month, relative-interval", last year,1217
1137.txt,day-month, 17 January,551
1651.txt,year,2025,36
1651.txt,year,2025,2183
1651.txt,"month, relative-interval",day ,805
1651.txt,"month, relative-interval", last year ,1708
